,location,name,span,verb
22018,82261,Harry,Harry lost any sense of where they were.,lost
22019,82274,Harry,The motorbike zoomed forward; Harry glimpsed hooded Death Eaters scat¬,glimpsed
22020,82275,Hagrid,as Hagrid blasted through their circle,blasted
22021,82293,Harry,"Harry shouted, but he looked back again as two jets of green",shouted
22022,82296,Hagrid,Hagrid swerved but,swerved
22023,82298,Harry,and Harry had to sink low into the sidecar to avoid them.,had
22024,82302,Harry,Harry looked up,looked
22025,82303,Hagrid,Hagrid slamming a thick finger into a green button near the,slamming
22026,82307,Harry,Harry saw it expand into being in midair.,saw
22027,82312,Hagrid,as Hagrid leaned low over the handlebars and sped up,leaned
22028,82315,Harry,Harry responded with further,responded
22029,82317,Harry,"Harry thought wildly of fireworks, and",thought
22030,82328,Harry,Harry saw him slam,saw
22031,82334,Harry,Harry saw the Death Eaters swerve out of sight to avoid,saw
22032,82340,Hagrid,"Hagrid yelled, and from inside his jacket",yelled
22033,82348,Harry,"Harry sped forward, propelled by the impetus of the bike’s flight, then",sped
22034,82350,Harry,In desperation Harry pointed his wand at the sidecar and shouted “Wingardium,pointed
22035,82356,Hagrid,"Hagrid yelled from out of the darkness, but",yelled
22036,82367,Harry,plummeting sidecar; Harry pulled his rucksack with him as he dragged him-,pulled
22037,82379,Hagrid,",” moaned Hagrid, “",moaned
22038,82381,Harry,"Harry shouted back, as two more",shouted
22039,82387,Harry,Harry sent Stunning Spell,sent
22040,82391,Harry,"by the red light of his next Stunning Spell, Harry saw the",saw
22041,82393,Harry,Harry yelled.,yelled
22042,82399,Hagrid,"” bellowed Hagrid, “Where’ve they gone?”",bellowed
22043,82412,Harry,from the exhaust: Harry felt himself slipping backward off what little of the,felt
22044,82413,Hagrid,"seat he had, Hagrid flung backward upon him, barely maintaining his grip on",flung
22045,82417,Harry,But Harry was not convinced,was
